Training	Validation	MCC	A	C
1	1	0.9469	0.9736	0.9915
1	1	0.9562	0.9783	0.9917
1	1	0.8801	0.9404	0.9678
1	1	0.7104	0.8496	0.9915
1	1	0.7916	0.8877	0.9978
1	1	0.7090	0.8384	0.9761
1	1	0.7746	0.8752	0.8962
1	1	0.9045	0.9507	0.9814
1	1	0.8880	0.9413	0.9524
1	1	0.6877	0.8330	0.9532
2	1	0.7961	0.8958	0.8743
2	1	0.9502	0.9754	0.9697
2	1	0.7940	0.8884	0.9281
2	1	0.7398	0.8660	0.9911
2	1	0.7737	0.8811	0.9730
2	1	0.6475	0.7889	0.9486
2	1	0.9426	0.9712	0.9850
2	1	0.7910	0.8943	0.9931
2	1	0.9088	0.9534	0.9862
2	1	0.3791	0.6848	0.9734
4	2	0.8377	0.9126	0.9043
4	2	0.7829	0.8813	0.9879
4	2	0.9555	0.9779	0.9930
4	2	0.9014	0.9491	0.9876
4	2	0.7561	0.8773	0.9905
4	2	0.7966	0.8921	0.8733
4	2	0.9093	0.9544	0.9868
4	2	0.7928	0.8951	0.9760
4	2	0.9543	0.9774	0.9461
4	2	0.6947	0.8221	0.9808
6	3	0.8747	0.9347	0.9326
6	3	0.9523	0.9763	0.9784
6	3	0.8670	0.9335	0.9377
6	3	0.8883	0.9419	0.9103
6	3	0.9449	0.9727	0.9923
6	3	0.9320	0.9662	0.9165
6	3	0.8937	0.9457	0.9913
6	3	0.7957	0.8902	0.9067
6	3	0.9474	0.9739	0.9933
6	3	0.7527	0.8627	0.9368
8	4	0.8332	0.9111	0.9274
8	4	0.9312	0.9651	0.9532
8	4	0.9494	0.9749	0.9938
8	4	0.8609	0.9294	0.9225
8	4	0.9515	0.9759	0.9284
8	4	0.9483	0.9744	0.9137
8	4	0.9538	0.9772	0.9542
8	4	0.9096	0.9547	0.8891
8	4	0.9257	0.9624	0.8889
8	4	0.9413	0.9710	0.9369
10	5	0.8358	0.9124	0.9010
10	5	0.9441	0.9721	0.8971
10	5	0.8532	0.9259	0.8839
10	5	0.9398	0.9698	0.9879
10	5	0.8653	0.9295	0.9107
10	5	0.9073	0.9527	0.9704
10	5	0.8458	0.9239	0.9849
10	5	0.9511	0.9758	0.9422
10	5	0.8335	0.9113	0.9303
10	5	0.9546	0.9775	0.9549
12	6	0.8687	0.9329	0.9907
12	6	0.8336	0.9124	0.9899
12	6	0.9535	0.9770	0.9413
12	6	0.8778	0.9365	0.9007
12	6	0.9423	0.9712	0.9662
12	6	0.9252	0.9622	0.9663
12	6	0.8670	0.9308	0.8836
12	6	0.9530	0.9768	0.9441
12	6	0.8214	0.9042	0.8911
12	6	0.8565	0.9233	0.9795
14	7	0.9250	0.9623	0.9317
14	7	0.9561	0.9783	0.9600
14	7	0.9522	0.9764	0.9921
14	7	0.8450	0.9228	0.9693
14	7	0.9538	0.9771	0.9930
14	7	0.9358	0.9676	0.9923
14	7	0.9514	0.9759	0.9136
14	7	0.9557	0.9781	0.9941
14	7	0.9470	0.9737	0.9475
14	7	0.8960	0.9468	0.9239
16	8	0.9562	0.9783	0.9422
16	8	0.9505	0.9755	0.9360
16	8	0.9563	0.9784	0.9556
16	8	0.9400	0.9697	0.9907
16	8	0.8800	0.9385	0.9261
16	8	0.9290	0.9640	0.9586
16	8	0.9523	0.9764	0.9917
16	8	0.9565	0.9785	0.9222
16	8	0.9539	0.9772	0.9926
16	8	0.9524	0.9764	0.9520
18	9	0.9478	0.9742	0.8786
18	9	0.8842	0.9402	0.9022
18	9	0.9297	0.9646	0.9850
18	9	0.8552	0.9234	0.8870
18	9	0.9487	0.9744	0.9593
18	9	0.9488	0.9745	0.9935
18	9	0.9456	0.9729	0.9593
18	9	0.9471	0.9736	0.9541
18	9	0.9462	0.9733	0.9928
18	9	0.9531	0.9767	0.9476
20	10	0.9440	0.9721	0.9515
20	10	0.9515	0.9759	0.9940
20	10	0.9533	0.9769	0.9468
20	10	0.8748	0.9355	0.9916
20	10	0.9562	0.9783	0.9483
20	10	0.9125	0.9560	0.9091
20	10	0.9548	0.9777	0.9563
20	10	0.9552	0.9778	0.9310
20	10	0.9566	0.9786	0.9630
20	10	0.9401	0.9698	0.9932
158	77	0.9556	0.9781	0.9373
