Dataset	Alignment	AliFilter	BMGE	ClipKIT	Gblocks	Noisy	trimAl
Dataset5	127775at6656	429,276,22,0	419,277,21,10	429,74,224,0	370,291,7,59	429,0,298,0	425,203,95,4
Dataset5	133422at6656	716,615,34,0	705,618,31,11	716,134,515,0	296,649,0,420	716,0,649,0	633,564,85,83
Dataset5	134209at6656	829,1150,131,7	801,1163,118,35	836,19,1262,0	546,1255,26,290	836,0,1281,0	637,1246,35,199
Dataset5	152402at6656	504,485,20,0	499,486,19,5	504,21,484,0	458,498,7,46	504,0,505,0	492,505,0,12
Dataset5	35548at6656	1390,2074,53,301	1387,2072,55,304	1691,38,2089,0	1270,2108,19,421	1691,0,2127,0	1379,2117,10,312
Dataset5	66229at6656	1446,1035,29,0	1439,1040,24,7	1446,309,755,0	1268,1063,1,178	1446,0,1064,0	1428,1064,0,18
Dataset5	6820at6656	3621,1554,15,0	3619,1557,12,2	3621,30,1539,0	3364,1560,9,257	3621,0,1569,0	3523,1569,0,98
Dataset5	68731at6656	1379,1638,21,0	1375,1643,16,4	1379,34,1625,0	1143,1658,1,236	1379,0,1659,0	1376,1652,7,3
Dataset5	84149at6656	858,839,53,0	852,843,49,6	858,30,862,0	687,881,11,171	858,0,892,0	643,892,0,215
Dataset5	980at6656	6367,9215,822,0	6286,9255,782,81	6367,222,9815,0	5140,9836,201,1227	6367,0,10037,0	4183,9989,48,2184
Dataset2	10620at1117	397,2144,3,0	380,2147,0,17	397,1278,869,0	319,2147,0,78	363,1937,210,34	397,2147,0,0
Dataset2	17590at1117	306,493,15,0	289,496,12,17	306,113,395,0	198,508,0,108	288,290,218,18	231,499,9,75
Dataset2	20603at1117	264,1215,20,0	229,1230,5,35	264,627,608,0	129,1235,0,135	255,701,534,9	181,1226,9,83
Dataset2	24089at1117	326,805,2,0	310,807,0,16	326,333,474,0	205,807,0,121	315,574,233,11	326,807,0,0
Dataset2	26835at1117	270,701,7,0	252,707,1,18	270,548,160,0	208,708,0,62	257,491,217,13	269,705,3,1
Dataset2	35402at1117	127,519,7,0	127,522,4,0	127,66,460,0	116,526,0,11	114,394,132,13	120,526,0,7
Dataset2	35571at1117	132,282,5,0	129,286,1,3	132,125,162,0	120,286,1,12	97,263,24,35	129,286,1,3
Dataset2	4003at1117	579,1226,3,0	541,1229,0,38	579,186,1043,0	418,1229,0,161	561,324,905,18	576,1229,0,3
Dataset2	50474at1117	70,1156,11,0	63,1167,0,7	70,417,750,0	39,1167,0,31	67,346,821,3	46,1166,1,24
Dataset2	6932at1117	454,819,28,0	424,836,11,30	454,516,331,0	273,845,2,181	417,571,276,37	435,674,173,19
Dataset1	1	307,129,1,14	278,130,0,43	321,66,64,0	264,130,0,57	286,71,59,35	285,130,0,36
Dataset1	10	504,76,0,2	492,76,0,14	506,33,43,0	447,76,0,59	476,32,44,30	490,76,0,16
Dataset1	100	239,170,2,2	207,172,0,34	241,87,85,0	153,172,0,88	227,114,58,14	181,172,0,60
Dataset1	101	214,189,0,16	171,189,0,59	230,149,40,0	104,189,0,126	196,157,32,34	147,187,2,83
Dataset1	102	315,147,0,0	299,147,0,16	315,94,53,0	254,147,0,61	257,87,60,58	305,147,0,10
Dataset1	103	1101,869,0,12	1074,869,0,39	1113,1,868,0	980,869,0,133	687,726,143,426	1097,869,0,16
Dataset1	104	625,1361,1,8	606,1362,0,27	633,980,382,0	550,1362,0,83	459,622,740,174	624,1362,0,9
Dataset1	105	1332,2920,0,78	1209,2920,0,201	1410,1989,931,0	894,2920,0,516	1316,1950,970,94	914,2900,20,496
Dataset1	106	264,258,0,6	242,258,0,28	270,1,257,0	222,258,0,48	221,196,62,49	263,258,0,7
Dataset1	107	243,94,0,11	226,94,0,28	254,50,44,0	214,94,0,40	207,62,32,47	251,94,0,3
Dataset1	108	202,30,0,0	197,30,0,5	202,19,11,0	175,30,0,27	170,20,10,32	195,30,0,7
Dataset1	109	174,72,0,37	164,72,0,47	211,51,21,0	137,72,0,74	181,42,30,30	173,72,0,38
