Tool	Alignment length	Distinct patterns	Required RAM (MB)	Runtime (h)
raw	82564	61296	269457	51.96
raw	82564	61296	269457	50.16
raw	82564	61296	269457	54.36
alifilter	51684	45786	201306	32.81
alifilter	51684	45786	201306	33.68
alifilter	51684	45786	201306	40.15
bmge	49295	43407	190847	36.70
bmge	49295	43407	190847	29.82
bmge	49295	43407	190847	31.24
clipkit	65308	57190	251422	41.60
clipkit	65308	57190	251422	50.65
clipkit	65308	57190	251422	48.24
gblocks	43247	37393	164427	31.26
gblocks	43247	37393	164427	31.09
gblocks	43247	37393	164427	33.92
noisy	51602	46235	203275	36.87
noisy	51602	46235	203275	31.70
noisy	51602	46235	203275	34.22
trimal	48668	42755	187982	27.84
trimal	48668	42755	187982	31.31
trimal	48668	42755	187982	33.01
