Dataset	Alignment	Raw_alignments	Manually_filtered	AliFilter_Filtered	BMGE_Filtered	ClipKIT_Filtered	Gblocks_Filtered	Noisy_Filtered	trimAl_Filtered
Dataset5	127775at6656	727	429	451	440	653	377	490	525
Dataset5	133422at6656	1365	716	750	736	1231	291	944	718
Dataset5	134209at6656	2117	836	960	919	2098	566	1356	702
Dataset5	152402at6656	1009	504	524	518	988	465	578	492
Dataset5	35548at6656	3818	1691	1443	1442	3780	1285	1701	1394
Dataset5	66229at6656	2510	1446	1475	1463	2201	1266	1668	1446
Dataset5	6820at6656	5190	3621	3636	3631	5160	3367	2536	3621
Dataset5	68731at6656	3038	1379	1400	1391	3004	1133	1266	1383
Dataset5	84149at6656	1750	858	911	901	1720	697	1113	664
Dataset5	980at6656	16404	6367	7189	7068	16182	5299	9123	4257
Dataset2	10620at1117	2544	397	400	380	1266	319	573	397
Dataset2	17590at1117	814	306	321	301	701	198	506	240
Dataset2	20603at1117	1499	264	284	234	872	129	789	190
Dataset2	24089at1117	1133	326	328	310	800	205	548	326
Dataset2	26835at1117	978	270	277	253	430	208	474	272
Dataset2	35402at1117	653	127	134	131	587	116	246	120
Dataset2	35571at1117	419	132	137	130	294	120	121	130
Dataset2	4003at1117	1808	579	582	541	1622	418	1466	576
Dataset2	50474at1117	1237	70	81	63	820	39	888	47
Dataset2	6932at1117	1301	454	482	435	785	275	693	608
Dataset1	1	451	321	308	278	385	264	345	285
Dataset1	10	582	506	504	492	549	447	520	490
Dataset1	100	413	241	241	207	326	153	285	181
Dataset1	101	419	230	214	171	270	104	228	149
Dataset1	102	462	315	315	299	368	254	317	305
Dataset1	103	1982	1113	1101	1074	1981	980	830	1097
Dataset1	104	1995	633	626	604	1015	548	1199	624
Dataset1	105	4330	1410	1332	1209	2341	893	2286	924
Dataset1	106	528	270	264	241	527	221	283	263
Dataset1	107	348	254	243	226	298	214	239	251
Dataset1	108	232	202	202	197	213	175	180	195
