Species	Mitochondrial genome accession	Gene count	ATP6	ATP8	COX1	COX2	COX3	CYTB	ND1	ND2	ND3	ND4	ND4L	ND5	ND6	rRNA-12S	rRNA-16S	tRNA-Ala	tRNA-Arg	tRNA-Asn	tRNA-Asp	tRNA-Cys	tRNA-Gln	tRNA-Glu	tRNA-Gly	tRNA-His	tRNA-Ile	tRNA-Leu	tRNA-Lys	tRNA-Met	tRNA-Phe	tRNA-Pro	tRNA-Ser	tRNA-Thr	tRNA-Trp	tRNA-Tyr	tRNA-Val
Acerella muscorum	KJ101608.1	35	AHL42969.1	AHL42968.1	AHL42967.1	AHL42973.1	AHL42970.1	AHL42964.1	AHL42966.1	AHL42961.1	AHL42962.1	AHL42972.1	AHL42971.1	AHL42965.1	AHL42963.1	6482..7098	13271..14374	complement(14375..14439)	complement(11562..11628)	11382..11444	1444..1505	complement(7289..7342)	complement(7099..7162)	1999..2060	5404..5463	complement(5347..5405)	14738..14798	416..477;6417..6481	9700..9757	7160..7225	13206..13270	7228..7289	3608..3670	1936..1999	7356..7422	complement(7420..7484)	11444..11501
Acerentomon microrhinus	JQ728012.1	35	AFI54920.1	AFI54919.1	AFI54917.1	AFI54918.1	AFI54921.1	AFI54924.1	AFI54928.1	AFI54916.1	AFI54922.1	AFI54927.1	AFI54926.1	AFI54925.1	AFI54923.1	complement(1..726)	12783..13888	6123..6178	11627..11676	6293..6349	4117..4172	complement(11673..11730)	10109..10172	7979..8041	10049..10108	complement(10173..10229)	complement(12663..12724)	complement(727..787);complement(11522..11577)	4096..4153	9986..10050	complement(7978..8040)	12723..12782	6234..6291;7920..7978	6179..6232	1798..1865	complement(1737..1798)	complement(11579..11637)
Actinia tenebrosa	MK291977.1	17	QEQ76388.1	QEQ76387.1	QEQ76385.1	QEQ76380.1	QEQ76384.1	QEQ76383.1	QEQ76377.1	QEQ76379.1	QEQ76378.1	QEQ76381.1	QEQ76386.1	QEQ76376.1	QEQ76382.1	5800..6881	13399..15592	-	-	-	-	-	-	-	-	-	-	-	-	13328..13398	-	-	-	-	4252..4321	-	-
Alexandromenia crassa	PP333953.1	34	XGY06789.1	XGY06790.1	XGY06787.1	XGY06788.1	-	XGY06794.1	XGY06796.1	XGY06786.1	XGY06785.1	XGY06792.1	XGY06793.1	XGY06791.1	XGY06795.1	complement(13839..14679)	complement(12459..13771)	complement(1132..1193)	1095..1158	1229..1291	5217..5278	complement(14754..14814)	complement(14945..15013)	complement(15148..15211)	complement(15018..15078)	complement(8060..8122)	175..241	complement(12394..12458);complement(15082..15147)	1163..1228	complement(14680..14745)	complement(6291..6354)	6062..6128	1647..1714;complement(9765..9825)	5992..6059	complement(14879..14943)	complement(14815..14877)	complement(13772..13838)
Allacma fusca	MT547779.1	35	QKX48638.1	QKX48629.1	QKX48627.1	QKX48628.1	QKX48630.1	QKX48636.1	QKX48637.1	QKX48626.1	QKX48631.1	QKX48633.1	QKX48634.1	QKX48632.1	QKX48635.1	complement(13898..14625)	complement(12541..13760)	5837..5904	5907..5970	5971..6035	complement(11398..11462)	complement(1354..1414)	complement(62..129)	6104..6169	5428..5492	complement(7922..7984)	1..65	2974..3038;complement(14683..14749)	3728..3793	127..192	complement(6170..6234)	complement(9586..9651)	6036..6103;11322..11392	9651..9714	1280..1348	complement(1206..1270)	complement(13776..13841)
Allonautilus scrobiculatus	KP892752.1	35	AKE32137.1	AKE32136.1	AKE32134.1	AKE32135.1	AKE32144.1	AKE32141.1	AKE32143.1	AKE32146.1	AKE32145.1	AKE32139.1	AKE32140.1	AKE32138.1	AKE32142.1	complement(4072..4955)	complement(2659..4005)	14339..14404	14420..14483	14546..14610	2218..2283	complement(5026..5087)	complement(5220..5287)	complement(13328..13396)	complement(6272..6337)	complement(8872..8934)	14615..14682	complement(2529..2592);complement(2592..2658)	14278..14342	complement(4956..5022)	complement(2464..2528)	complement(12290..12355)	complement(10583..10649);15035..15101	6114..6181	complement(5156..5221)	complement(5088..5155)	complement(4006..4071)
Amia calva	AY442347.1	35	AAR16095.1	AAR16094.1	AAR16092.1	AAR16093.1	AAR16096.1	AAR16102.1	AAR16090.1	AAR16091.1	AAR16097.1	AAR16099.1	AAR16098.1	AAR16100.1	AAR16101.1	69..1089	1162..2869	complement(5260..5328)	10105..10174	complement(5330..5402)	7207..7279	complement(5440..5505)	complement(4001..4071)	complement(14421..14490)	9684..9755	11846..11915	3930..4001	2870..2944;11988..12060	7983..8056	4071..4139	1..68	complement(15709..15779)	complement(7129..7199);11916..11985	15634..15704	5185..5256	complement(5506..5576)	1090..1161
Amynthas cucullatus	KT429012.1	35	AMO26989.1	AMO26985.1	AMO26983.1	AMO26984.1	AMO26986.1	AMO26988.1	AMO26993.1	AMO26995.1	AMO26994.1	AMO26992.1	AMO26991.1	AMO26990.1	AMO26987.1	10291..11078	11141..12395	12458..12519	5855..5917	1549..1609	2297..2358	10164..10227	3423..3491	8330..8392	2580..2643	6487..6550	13569..13633	12396..12456;12584..12644	13634..13697	10228..10290	8268..8329	8391..8452	12518..12583;14053..14116	8453..8516	5096..5158	2519..2581	11079..11142
Androctonus mauritanicus	PP698025.1	34	XAG91119.1	XAG91118.1	XAG91116.1	XAG91117.1	XAG91120.1	XAG91125.1	XAG91126.1	XAG91115.1	XAG91121.1	XAG91122.1	XAG91123.1	XAG91127.1	XAG91124.1	complement(13600..14321)	complement(12422..13376)	5942..6002	6003..6062	6064..6126	-	complement(1549..1605)	331..393	6180..6236	5543..5601	complement(7971..8028)	393..456	complement(12270..12332);complement(12333..12387)	3879..3942	458..523	complement(6235..6295)	complement(9688..9745)	6127..6179;11285..11343	9629..9687	1488..1549	complement(1608..1667)	complement(13540..13602)
Anindobothrium lisae	MZ594640.1	34	UFQ89154.1	-	UFQ89153.1	UFQ89152.1	UFQ89151.1	UFQ89150.1	UFQ89149.1	UFQ89148.1	UFQ89147.1	UFQ89146.1	UFQ89145.1	UFQ89144.1	UFQ89143.1	2683..3400	1655..2617	11746..11806	4851..4907	12781..12844	11810..11874	2618..2682	10074..10134	3995..4057	6699..6767	7416..7486	12911..12976	4698..4760;4787..4850	12996..13058	10190..10254	10132..10193	12848..12911	4570..4637;13417..13475	1587..1651	13481..13546	4531..4592	11677..11739
